step,accuracy_mean,accuracy_q10,accuracy_q90,entropy_mean,entropy_q10,entropy_q90,true_cond_entropy_mean,false_cond_entropy_mean,true_mass_mean,loss_mean,reward_mean
155,0.9896181854,0.9842294607,0.9957118597,0.1204170848,0.0884491662,0.1631442424,0.1030572599,1234.3428015757,0.9896181854,0.0582434287,0.9895833333
156,0.9876302171,0.9804026537,0.9953088331,0.1272911746,0.0914104900,0.1724189945,0.1041079415,1770.5223773972,0.9876302171,0.0841297507,1.0000000000
157,0.9888437366,0.9830531836,0.9954454451,0.1220405871,0.0892272041,0.1623765214,0.1021810924,2490.5729690552,0.9888437366,0.0506909788,1.0000000000
158,0.9894903231,0.9844772234,0.9955915728,0.1224452717,0.0884558626,0.1620433503,0.1038523700,2631.8754382563,0.9894903231,0.1264027407,0.9062500000
159,0.9875714755,0.9795710139,0.9957379184,0.1241036365,0.0873521769,0.1659697044,0.1035663372,4742.1673438358,0.9875714755,0.0577777922,0.9895833333
160,0.9901068989,0.9861408048,0.9956324983,0.1251828203,0.0842771163,0.1707813686,0.1073465950,3582.6285210800,0.9901068989,0.1123960912,0.9791666667
161,0.9871396375,0.9856058612,0.9890720820,0.1388344369,0.1142451192,0.1717754486,0.1106860228,3593.2097510799,0.9871396375,0.1057238181,0.9583333333
162,0.9888560891,0.9857049589,0.9932405748,0.1352274519,0.1013803994,0.1749743637,0.1079312491,9162.1869765186,0.9888560891,0.0284748077,0.9479166667
163,0.9898271767,0.9855710030,0.9952666054,0.1275592604,0.0898772639,0.1698513039,0.1049321455,4379.4594313097,0.9898271767,0.1464113593,0.9895833333
164,0.9897674219,0.9853202415,0.9953573852,0.1271530121,0.0899417689,0.1693977852,0.1047395393,7007.8288625860,0.9897674219,0.1099850535,1.0000000000
165,0.9888963763,0.9834464874,0.9951407166,0.1304250680,0.0928267375,0.1722311661,0.1046186366,2697.8611825991,0.9888963763,0.1448447555,1.0000000000
166,0.9910646939,0.9877343483,0.9955128345,0.1189016539,0.0925736404,0.1485717195,0.1030824816,4615.1270023044,0.9910646939,0.0641212861,0.9166666667
167,0.9912112729,0.9879348383,0.9956033030,0.1138755682,0.0906766512,0.1394372725,0.0997513974,2480.9828875144,0.9912112729,0.0809126993,1.0000000000
